"Step","FFNN Traffic Generation 8April Second - loss","FFNN Traffic Generation 8April Second - loss__MIN","FFNN Traffic Generation 8April Second - loss__MAX"
"0","0.10580566430621585","0.10580566430621585","0.10580566430621585"
"1","0.03604769606809102","0.03604769606809102","0.03604769606809102"
"2","0.033066067552664107","0.033066067552664107","0.033066067552664107"
"3","0.03233401010790432","0.03233401010790432","0.03233401010790432"
"4","0.032030004677181076","0.032030004677181076","0.032030004677181076"
"5","0.03186743693085347","0.03186743693085347","0.03186743693085347"
"6","0.03176433045155136","0.03176433045155136","0.03176433045155136"
"7","0.0317038834913616","0.0317038834913616","0.0317038834913616"
"8","0.03165222219839886","0.03165222219839886","0.03165222219839886"
"9","0.03161518816676246","0.03161518816676246","0.03161518816676246"