"Step","YOLOV11 Single Class Train 21 December 320x320 50 Epochs YoloV11N - metrics/mAP50-95(B)","YOLOV11 Single Class Train 21 December 320x320 50 Epochs YoloV11N - metrics/mAP50-95(B)__MIN","YOLOV11 Single Class Train 21 December 320x320 50 Epochs YoloV11N - metrics/mAP50-95(B)__MAX","YOLOV11 Single Class Train 21 December 640x640 75 Epochs YoloV11N - metrics/mAP50-95(B)","YOLOV11 Single Class Train 21 December 640x640 75 Epochs YoloV11N - metrics/mAP50-95(B)__MIN","YOLOV11 Single Class Train 21 December 640x640 75 Epochs YoloV11N - metrics/mAP50-95(B)__MAX","YOLOV11 Single Class Train 15 November Bigger Image Size 20 Epochs - metrics/mAP50-95(B)","YOLOV11 Single Class Train 15 November Bigger Image Size 20 Epochs - metrics/mAP50-95(B)__MIN","YOLOV11 Single Class Train 15 November Bigger Image Size 20 Epochs - metrics/mAP50-95(B)__MAX"
"1","0.16064","0.16064","0.16064","0.33861","0.33861","0.33861","0.34823","0.34823","0.34823"
"2","0.27553","0.27553","0.27553","0.37021","0.37021","0.37021","0.3615","0.3615","0.3615"
"3","0.25764","0.25764","0.25764","0.35175","0.35175","0.35175","0.40869","0.40869","0.40869"
"4","0.25158","0.25158","0.25158","0.32522","0.32522","0.32522","0.42836","0.42836","0.42836"
"5","0.25901","0.25901","0.25901","0.38766","0.38766","0.38766","0.43503","0.43503","0.43503"
"6","0.29265","0.29265","0.29265","0.4022","0.4022","0.4022","0.44043","0.44043","0.44043"
"7","0.30082","0.30082","0.30082","0.41307","0.41307","0.41307","0.47572","0.47572","0.47572"
"8","0.33722","0.33722","0.33722","0.40087","0.40087","0.40087","0.44941","0.44941","0.44941"
"9","0.29265","0.29265","0.29265","0.43783","0.43783","0.43783","0.46698","0.46698","0.46698"
"10","0.32923","0.32923","0.32923","0.4296","0.4296","0.4296","0.48614","0.48614","0.48614"
"11","0.31336","0.31336","0.31336","0.42227","0.42227","0.42227","0.49","0.49","0.49"
"12","0.33992","0.33992","0.33992","0.43558","0.43558","0.43558","0.49648","0.49648","0.49648"
"13","0.34434","0.34434","0.34434","0.42085","0.42085","0.42085","0.50104","0.50104","0.50104"
"14","0.34824","0.34824","0.34824","0.45489","0.45489","0.45489","0.50369","0.50369","0.50369"
"15","0.30929","0.30929","0.30929","0.45341","0.45341","0.45341","0.50292","0.50292","0.50292"
"16","0.36151","0.36151","0.36151","0.44635","0.44635","0.44635","0.51308","0.51308","0.51308"
"17","0.35597","0.35597","0.35597","0.45139","0.45139","0.45139","0.51554","0.51554","0.51554"
"18","0.34919","0.34919","0.34919","0.45853","0.45853","0.45853","0.51592","0.51592","0.51592"
"19","0.37141","0.37141","0.37141","0.45194","0.45194","0.45194","0.52569","0.52569","0.52569"
"20","0.37681","0.37681","0.37681","0.46158","0.46158","0.46158","0.525590887824494","0.525590887824494","0.525590887824494"
"21","0.37037","0.37037","0.37037","0.46947","0.46947","0.46947","","",""
"22","0.38661","0.38661","0.38661","0.46149","0.46149","0.46149","","",""
"23","0.3744","0.3744","0.3744","0.47171","0.47171","0.47171","","",""
"24","0.36578","0.36578","0.36578","0.46326","0.46326","0.46326","","",""
"25","0.38358","0.38358","0.38358","0.46088","0.46088","0.46088","","",""
"26","0.38667","0.38667","0.38667","0.47664","0.47664","0.47664","","",""
"27","0.38375","0.38375","0.38375","0.46258","0.46258","0.46258","","",""
"28","0.39638","0.39638","0.39638","0.4732","0.4732","0.4732","","",""
"29","0.39245","0.39245","0.39245","0.48173","0.48173","0.48173","","",""
"30","0.3961","0.3961","0.3961","0.48411","0.48411","0.48411","","",""
"31","0.38748","0.38748","0.38748","0.48501","0.48501","0.48501","","",""
"32","0.40059","0.40059","0.40059","0.48402","0.48402","0.48402","","",""
"33","0.38035","0.38035","0.38035","0.48247","0.48247","0.48247","","",""
"34","0.39569","0.39569","0.39569","0.48299","0.48299","0.48299","","",""
"35","0.39973","0.39973","0.39973","0.49074","0.49074","0.49074","","",""
"36","0.40728","0.40728","0.40728","0.49057","0.49057","0.49057","","",""
"37","0.40516","0.40516","0.40516","0.48862","0.48862","0.48862","","",""
"38","0.40077","0.40077","0.40077","0.49035","0.49035","0.49035","","",""
"39","0.39763","0.39763","0.39763","0.49049","0.49049","0.49049","","",""
"40","0.41248","0.41248","0.41248","0.48648","0.48648","0.48648","","",""
"41","0.40341","0.40341","0.40341","0.4939","0.4939","0.4939","","",""
"42","0.40407","0.40407","0.40407","0.49546","0.49546","0.49546","","",""
"43","0.40916","0.40916","0.40916","0.49368","0.49368","0.49368","","",""
"44","0.41193","0.41193","0.41193","0.49569","0.49569","0.49569","","",""
"45","0.40821","0.40821","0.40821","0.49615","0.49615","0.49615","","",""
"46","0.40682","0.40682","0.40682","0.49304","0.49304","0.49304","","",""
"47","0.41286","0.41286","0.41286","0.49064","0.49064","0.49064","","",""
"48","0.4133","0.4133","0.4133","0.49458","0.49458","0.49458","","",""
"49","0.41391","0.41391","0.41391","0.49247","0.49247","0.49247","","",""
"50","0.4138471718838003","0.4138471718838003","0.4138471718838003","0.49544","0.49544","0.49544","","",""
"51","","","","0.49714","0.49714","0.49714","","",""
"52","","","","0.49617","0.49617","0.49617","","",""
"53","","","","0.49659","0.49659","0.49659","","",""
"54","","","","0.49684","0.49684","0.49684","","",""
"55","","","","0.49973","0.49973","0.49973","","",""
"56","","","","0.49886","0.49886","0.49886","","",""
"57","","","","0.49984","0.49984","0.49984","","",""
"58","","","","0.50047","0.50047","0.50047","","",""
"59","","","","0.49764","0.49764","0.49764","","",""
"60","","","","0.49789","0.49789","0.49789","","",""
"61","","","","0.49774","0.49774","0.49774","","",""
"62","","","","0.49867","0.49867","0.49867","","",""
"63","","","","0.49903","0.49903","0.49903","","",""
"64","","","","0.50073","0.50073","0.50073","","",""
"65","","","","0.5011","0.5011","0.5011","","",""
"66","","","","0.50024","0.50024","0.50024","","",""
"67","","","","0.50048","0.50048","0.50048","","",""
"68","","","","0.50063","0.50063","0.50063","","",""
"69","","","","0.50032","0.50032","0.50032","","",""
"70","","","","0.50041","0.50041","0.50041","","",""
"71","","","","0.49997","0.49997","0.49997","","",""
"72","","","","0.50057","0.50057","0.50057","","",""
"73","","","","0.50081","0.50081","0.50081","","",""
"74","","","","0.50053","0.50053","0.50053","","",""
"75","","","","0.5011507148761912","0.5011507148761912","0.5011507148761912","","",""